Date,USD_TRY,USD_TRY_Lag_1M,USD_TRY_Lag_3M,USD_TRY_Change,USD_TRY_Volatility
2016-06-03,2.9481799602508545,2.844949960708618,2.9099700450897217,0.194391767920643,0.8358107613603597
2016-06-04,2.9481799602508545,2.954349994659424,2.9099700450897217,0.0,0.451760803508076
2016-06-05,2.9481799602508545,2.928070068359375,2.9048800468444824,0.0,0.4198332080770666
2016-06-06,2.906909942626953,2.928070068359375,2.91540002822876,-1.399847301736279,0.4938262817848268
2016-06-07,2.905319929122925,2.928070068359375,2.9117701053619385,-0.0546977214777921,0.4938394523545095
2016-06-08,2.8961598873138428,2.9231998920440674,2.8930599689483643,-0.3152851332227424,0.4960552381383409
2016-06-09,2.891279935836792,2.941849946975708,2.891050100326538,-0.1684973090894104,0.4802185783804963
2016-06-10,2.894629955291748,2.9491000175476074,2.891050100326538,0.1158663128199233,0.4779629968128375
2016-06-11,2.894629955291748,2.9519500732421875,2.891050100326538,0.0,0.4771888374629818
2016-06-12,2.894629955291748,2.961610078811645,2.871809959411621,0.0,0.4716394487268523
2016-06-13,2.929409980773926,2.961610078811645,2.8708200454711914,1.2015361555488546,0.5261115977096107
2016-06-14,2.9219799041748047,2.961610078811645,2.8968698978424072,-0.2536373074402576,0.5275641949158809
2016-06-15,2.9344799518585205,2.9714300632476807,2.8691399097442627,0.4277937594935554,0.530209184285134
2016-06-16,2.9228100776672363,2.973900079727173,2.842269897460937,-0.397681169499664,0.5336043936108531
2016-06-17,2.9296200275421143,2.967400074005127,2.842269897460937,0.2329932391745837,0.535237550463705
2016-06-18,2.9296200275421143,2.986330032348633,2.842269897460937,0.0,0.5197700548109684
2016-06-19,2.9296200275421143,2.988110065460205,2.8701400756835938,0.0,0.5194006829786951
2016-06-20,2.91129994392395,2.988110065460205,2.8630800247192383,-0.6253399227863055,0.5291763269811548
2016-06-21,2.901319980621338,2.988110065460205,2.8677499294281006,-0.3428009306784441,0.5309665350549425
2016-06-22,2.9114999771118164,2.9744999408721924,2.875459909439087,0.3508746556213582,0.5325924771724707
2016-06-23,2.8893001079559326,2.995270013809204,2.8754799365997314,-0.7624890719698962,0.5266774135001083
2016-06-24,2.86417007446289,2.948319911956787,2.8754799365997314,-0.8697619684381097,0.47318192764221
2016-06-25,2.86417007446289,2.939120054244995,2.8754799365997314,0.0,0.4716826947399094
2016-06-26,2.86417007446289,2.937649965286255,2.874269962310791,0.0,0.4718989297867383
2016-06-27,2.9411299228668213,2.937649965286255,2.868340015411377,2.686985982086365,0.6919483398557553
2016-06-28,2.9364500045776367,2.937649965286255,2.8404200077056885,-0.1591197400971244,0.692607371778841
2016-06-29,2.9061100482940674,2.959249973297119,2.833009958267212,-1.0332188947971943,0.7031311757335819
2016-06-30,2.887860059738159,2.9532699584960938,2.81690001487732,-0.6279868364455488,0.710402494437203
2016-07-01,2.881779909133911,2.946700096130371,2.81690001487732,-0.2105417325796388,0.7103188959569547
2016-07-02,2.881779909133911,2.942460060119629,2.81690001487732,0.0,0.7103012099517491
2016-07-03,2.881779909133911,2.9481799602508545,2.822999954223633,0.0,0.7087191991205377
2016-07-04,2.901520013809204,2.9481799602508545,2.811239957809448,0.6849969566629976,0.7220772777726193
2016-07-05,2.90487003326416,2.9481799602508545,2.829890012741089,0.1154573960893801,0.7226640586945036
2016-07-06,2.924870014190674,2.906909942626953,2.839060068130493,0.6884983044848969,0.6875660811868508
2016-07-07,2.9371800422668457,2.905319929122925,2.863800048828125,0.420874364209256,0.691190538361617
2016-07-08,2.932919979095459,2.8961598873138428,2.863800048828125,-0.1450392250418208,0.6888794445772948
2016-07-09,2.932919979095459,2.891279935836792,2.863800048828125,0.0,0.6877704266064986
2016-07-10,2.932919979095459,2.894629955291748,2.84962010383606,0.0,0.6877127839365521
2016-07-11,2.891619920730591,2.894629955291748,2.82778000831604,-1.4081549670375115,0.7372384645114103
2016-07-12,2.903409957885742,2.894629955291748,2.832900047302246,0.4077312191213655,0.7410035028282239
2016-07-13,2.8868799209594727,2.929409980773926,2.8441998958587646,-0.5693318258888524,0.71304377403681
2016-07-14,2.898900032043457,2.9219799041748047,2.849849939346313,0.4163703171966126,0.7168084943066473
2016-07-15,2.8837599754333496,2.9344799518585205,2.849849939346313,-0.5222690138588559,0.7171484602375812
2016-07-16,2.8837599754333496,2.9228100776672363,2.849849939346313,0.0,0.7142775690892637
2016-07-17,2.8837599754333496,2.9296200275421143,2.852499961853028,0.0,0.7124445298091561
2016-07-18,2.966259956359864,2.9296200275421143,2.838119983673096,2.8608476998546406,0.8889798842174452
2016-07-19,2.9803099632263184,2.9296200275421143,2.8299999237060547,0.4736606728055204,0.8923489039797828
2016-07-20,3.0438899993896484,2.91129994392395,2.81043004989624,2.1333363625876567,0.9588445753480432
2016-07-21,3.0819098949432373,2.901319980621338,2.8310999870300293,1.2490561604135753,0.9743834990051674
2016-07-22,3.064169883728028,2.9114999771118164,2.8310999870300293,-0.5756174521622914,0.9842666642902732
2016-07-23,3.064169883728028,2.8893001079559326,2.8310999870300293,0.0,0.9689451589555824
2016-07-24,3.064169883728028,2.86417007446289,2.8454298973083496,0.0,0.948614369391289
2016-07-25,3.0570499897003174,2.86417007446289,2.843219995498657,-0.2323596372877157,0.951497469453052
2016-07-26,3.0352399349212646,2.86417007446289,2.8194799423217773,-0.7134346789399615,0.9660368083304024
2016-07-27,3.040060043334961,2.9411299228668213,2.8171699047088623,0.1588048561907529,0.8439876547834365
2016-07-28,3.013730049133301,2.9364500045776367,2.811110019683838,-0.866101123870433,0.8615569726731782
2016-07-29,3.0103600025177,2.9061100482940674,2.811110019683838,-0.1118231082631204,0.8361777215726668
2016-07-30,3.0103600025177,2.887860059738159,2.811110019683838,0.0,0.8245634805953138
2016-07-31,3.0103600025177,2.881779909133911,2.792409896850586,0.0,0.8223539494164509
2016-08-01,2.9863901138305664,2.881779909133911,2.803499937057495,-0.7962465840327004,0.8399842426553497
2016-08-02,2.9887499809265137,2.881779909133911,2.844949960708618,0.0790207242187923,0.8397113342324285
2016-08-03,2.9913198947906494,2.901520013809204,2.954349994659424,0.0859862444344994,0.8330300911723512
2016-08-04,3.012120008468628,2.90487003326416,2.928070068359375,0.6953490234929971,0.8399806374824036
2016-08-05,3.009660005569458,2.924870014190674,2.928070068359375,-0.081670149006463,0.833889862744937
2016-08-06,3.009660005569458,2.9371800422668457,2.928070068359375,0.0,0.83181938634088
2016-08-07,3.009660005569458,2.932919979095459,2.9231998920440674,0.0,0.8308595862553273
2016-08-08,2.995429992675781,2.932919979095459,2.941849946975708,-0.472811309827148,0.83707569428216
2016-08-09,2.980449914932251,2.932919979095459,2.9491000175476074,-0.500097741564931,0.8435481201114173
2016-08-10,2.9680299758911133,2.891619920730591,2.9519500732421875,-0.4167135632413443,0.8025943605274877
2016-08-11,2.9553699493408203,2.903409957885742,2.961610078811645,-0.4265464517922201,0.8056553087867853
2016-08-12,2.9595000743865967,2.8868799209594727,2.961610078811645,0.1397498491414683,0.7968405030626767
2016-08-13,2.9595000743865967,2.898900032043457,2.961610078811645,0.0,0.7945083944691624
2016-08-14,2.9595000743865967,2.8837599754333496,2.9714300632476807,0.0,0.7867216141590191
2016-08-15,2.959700107574463,2.8837599754333496,2.973900079727173,0.0067590195248712,0.7866960925849692
2016-08-16,2.941659927368164,2.8837599754333496,2.967400074005127,-0.6095273017739378,0.7968958074305257
2016-08-17,2.927500009536743,2.966259956359864,2.986330032348633,-0.4813580828865405,0.6032819579869332
2016-08-18,2.9177000522613525,2.9803099632263184,2.988110065460205,-0.3347551577614349,0.5974774657648508
2016-08-19,2.9267001152038574,3.0438899993896484,2.988110065460205,0.3084642965794026,0.4368171416859744
2016-08-20,2.9267001152038574,3.0819098949432373,2.988110065460205,0.0,0.3521809079484454
2016-08-21,2.9267001152038574,3.064169883728028,2.9744999408721924,0.0,0.3450119655721053
2016-08-22,2.9321000576019287,3.064169883728028,2.995270013809204,0.1845061736943654,0.3494368186619898
2016-08-23,2.9402201175689697,3.064169883728028,2.948319911956787,0.2769366599884026,0.3570071127464555
2016-08-24,2.9488000869750977,3.0570499897003174,2.939120054244995,0.2918138460062724,0.3649148713382059
2016-08-25,2.950700044631958,3.0352399349212646,2.937649965286255,0.0644315518455229,0.3485219310540758
2016-08-26,2.933340072631836,3.040060043334961,2.937649965286255,-0.5883340135404147,0.3564728089470702
2016-08-27,2.933340072631836,3.013730049133301,2.937649965286255,0.0,0.3277470695117148
2016-08-28,2.933340072631836,3.0103600025177,2.959249973297119,0.0,0.3281208320450826
